commit	communication	loss	status	description
60524d2	1,883,961,664	3.017321	discard	outer LR=0.85 with selective EF (LR=0.9 is true optimum)
c620b2d	1,883,961,664	3.479554	discard	Muon inner optimizer (incompatible with DiLoCo outer step)
91f43ff	1,883,961,664	3.231779	discard	outer weight_decay=0.01 (master model L2 hurt convergence)
e5089b4	1,317,337,408	3.019936	discard	skip wte broadcast (wte diverges without broadcast too)
0edebc8	1,332,453,432	3.436635	discard	SPARTA+DiLoCo H=30 (per-step SPARTA reduces throughput, hurts loss badly)
0e2ce87	1,159,733,456	3.044432	discard	full 2-bit EF + momentum=0.95 (can't close loss gap vs selective EF)
6c09043	1,883,961,664	3.018344	discard	constant LR=0.0003 (warmup helps, even if never completed)
0d6b4ff	1,883,961,664	3.003783	discard	AdamW beta1=0.85 (lower beta1 hurts)
fcbd1dd	1,883,961,664	2.982385	discard	separate wte/transformer grad clipping (global norm=1.0 already optimal)
39c3f9f	1,883,961,664	3.011433	discard	max_norm=2.0 (tighter clipping was already optimal)
1e0edec	1,883,961,664	3.297814	discard	outer SGD no Nesterov (Nesterov essential)
c3e7975	1,883,961,664	2.980692	discard	weight_decay=0.15 (0.1 is the sweet spot)
07e1e00	1,825,055,032	3.019054	discard	split outer LR wte=0.765/transformer=0.9 (hurts loss)
5719d86	1,883,961,664	2.959710	discard	outer lr=0.92 (0.9 is the true sweet spot)
faa7bc7	1,919,375,680	3.006930	discard	4-bit EF wte (more bytes=slower comm=fewer training steps, worse)
4027603	1,883,961,664	3.004792	discard	wte range=5 (range=4 confirmed optimal for 2-bit selective EF)
0d92a30	1,883,961,664	3.012931	discard	warmup=100 cosine_anneal=False (gradual warmup-only schedule is optimal)
dae862b	1,883,961,664	3.071383	discard	warmup=30 cosine to actual run (decreasing LR hurts, ramp is best)
fedbb3b	1,883,961,664	2.970855	discard	max_norm=0.5 (1.0 is the exact sweet spot)
3eb2f9c	1,138,659,832	6.086881	discard	SparseDiLoCo 1% top-K (too sparse for only 11 syncs, 99% of params never updated)
92099e9	1,883,961,664	3.586579	discard	MuLoCo (wte/wpe incorrectly going to Muon - no "embed" in name)
04250a2	1,883,961,664	9.297301	discard	MuLoCo muon_lr=0.001 (still wte/wpe going to Muon, catastrophic)
89db2b8	1,883,961,664	3.077558	discard	MuLoCo correct filter, muon_lr=2.68e-2 (27x higher effective LR overshoots outer step)
839959d	1,883,961,664	3.559731	discard	MuLoCo muon_lr=0.001 correct filter (Muon fundamentally incompatible with DiLoCo outer step)
643d7b2	1,802,613,056	2.989958	discard	broadcast error buffer instead of model params (4% less comm, loss 0.044 worse - gloo latency)
db1452e	1,159,733,456	3.076389	discard	CUDA 2-bit EF NCCL no-broadcast (non-det CUDA or NCCL uint8 issue causes divergence)
21aa854	1,807,706,320	3.030853	discard	CUDA 2-bit EF all params + NCCL broadcast (transformer quantization hurts outer step)
6a690fb	1,675,397,392	3.050543	discard	H=20 outer_lr=0.675 (LR scaling doesn't compensate for H quality loss)
3960ffc	1,807,706,320	3.302420	discard	hybrid EF (4-bit transformer, 2-bit wte) - Nesterov momentum amplifies quantization noise 7x
fca67ab	1,807,706,320	2.995953	discard	full 2-bit EF (gloo) + broadcast (22 gloo calls/sync is slower than selective; 0.015 worse)
7354eb7	1,883,961,664	3.007993	discard	Lloyd-Max 2-bit quantizer (pseudo-gradients not Gaussian, worse than uniform range=4)
7da5970	1,883,961,664	7.944452	discard	Lion inner lr=1e-4 (warmup scales to 3.34e-5 effective, too small for sign updates)
c78c359	1,883,961,664	3.879341	discard	Lion inner lr=3e-4 (sign updates fundamentally incompatible with DiLoCo dynamics)
a38e11b	1,883,961,664	4.185491	discard	Adadelta inner (adaptive step without warmup doesn't work)
7078464	1,883,961,664	2.948967	discard	AdamW amsgrad=True (0.003 worse than standard AdamW)
e8df8b3	1,883,961,664	2.997480	discard	gradient centralization (subtract mean from 2D+ grads, hurts loss)
c30ded4	1,825,055,032	3.184470	discard	NCCL wte EF (CPU-GPU-CPU transfers > gloo on shared memory, worse)
da754a0	1,883,961,664	2.964974	discard	AdamW eps=1e-7 (default 1e-8 is optimal)
43a2cba	1,883,961,664	2.990357	discard	grouped weight decay (wd=0 for embed/bias hurts, uniform wd=0.1 is optimal)
cf6e67d	1,883,961,664	3.042335	discard	reset inner exp_avg after outer sync (momentum across syncs is beneficial)
819fff5	1,883,961,664	5.848171	discard	SWA outer (early snapshots are poor, averaging hurts convergence)
